Date,AE_0,AE_1,AE_2
2016-06-14,0.48486966,0.35795745,0.53688973
2016-06-15,0.4741252,0.37686387,0.5691893
2016-06-16,0.48978302,0.35520664,0.5318414
2016-06-17,0.48074368,0.40004152,0.6057103
2016-06-20,0.44100878,0.37176606,0.56334287
2016-06-21,0.47103238,0.3413479,0.5094252
2016-06-22,0.4967091,0.38075256,0.5738209
2016-06-23,0.40878105,0.35472056,0.5373022
2016-06-24,0.61793053,0.3726085,0.5510955
2016-06-27,0.5383626,0.36795956,0.5496023
2016-06-28,0.41112632,0.3693351,0.5616434
2016-06-29,0.43387964,0.38151917,0.5798173
2016-06-30,0.44545457,0.360038,0.54343873
2016-07-01,0.48983273,0.3942319,0.5959253
2016-07-04,0.47307187,0.37381482,0.564269
2016-07-05,0.52634966,0.36443532,0.5446317
2016-07-06,0.45904014,0.35766685,0.53838223
2016-07-07,0.47491324,0.34800115,0.5206462
2016-07-08,0.4310666,0.36853996,0.5587734
2016-07-11,0.47482607,0.37180346,0.56082076
2016-07-12,0.45238253,0.38129717,0.5780502
2016-07-13,0.4815063,0.38968214,0.58932817
2016-07-14,0.4600121,0.3641884,0.5492906
2016-07-15,0.48036653,0.3505759,0.5246519
2016-07-18,0.47337905,0.37623996,0.56822515
2016-07-19,0.47337836,0.34410515,0.5140331
2016-07-20,0.46662438,0.35306773,0.52997506
2016-07-21,0.5017661,0.38622555,0.5822822
2016-07-22,0.45798644,0.34706542,0.52034104
2016-07-25,0.4898614,0.36538255,0.5490053
2016-07-26,0.4725692,0.37000448,0.558017
2016-07-27,0.48426473,0.3776538,0.569713
2016-07-28,0.47486442,0.38370037,0.5802361
2016-07-29,0.4670244,0.40733147,0.61797845
2016-08-01,0.49332148,0.35656503,0.5338797
2016-08-02,0.5101304,0.3963582,0.59777206
2016-08-03,0.45958313,0.35944408,0.54134625
2016-08-04,0.47004914,0.36357787,0.5474981
2016-08-05,0.45285138,0.34482914,0.51687545
2016-08-08,0.47258383,0.37192145,0.5611862
2016-08-09,0.47443423,0.3730101,0.5628408
2016-08-10,0.48778248,0.3867929,0.58424026
2016-08-11,0.46785304,0.37052578,0.5592398
2016-08-12,0.4723361,0.3582796,0.53839695
2016-08-15,0.46958172,0.38292697,0.57938564
2016-08-16,0.4980449,0.39464614,0.5959699
2016-08-17,0.47018382,0.36404857,0.5482766
2016-08-18,0.46709886,0.38639337,0.5851503
2016-08-19,0.48137677,0.35026518,0.524041
2016-08-22,0.49384668,0.37243944,0.5604257
2016-08-23,0.4674385,0.36969966,0.5579031
2016-08-24,0.48804486,0.3504752,0.52388847
2016-08-25,0.48070258,0.36633936,0.55130255
